id,data_coleta,horario_coleta,supermercado,marca,nome_produto,embalagem,cidade,uf,regiao,preco_atual,preco_original,em_promocao,disponivel,url,erro,categoria,rota_css,url_recuperada,tentativas,grupo
9516,2026-04-13,10:59:21,Pão de Açúcar,Marilan,Água e Sal 300g Marilan,300g,São Paulo,SP,Sudeste,6.99,,0,1,https://www.paodeacucar.com/produto/1639482/biscoito-agua-e-sal-marilan-300g,,Biscoitos,10,,1,Mercearias Secas
9517,2026-04-13,10:59:33,Pão de Açúcar,Mabel,Água e Sal 300g Mabel,300g,São Paulo,SP,Sudeste,,,0,0,https://www.paodeacucar.com/produto/1616940/biscoito-agua-e-sal-mabel-pacote-300g,produto_indisponivel,Biscoitos,,,2,Mercearias Secas
9518,2026-04-13,10:59:56,Pão de Açúcar,Vitarella,Água e Sal 350g Vitarella,350g,São Paulo,SP,Sudeste,7.99,,0,1,https://www.paodeacucar.com/produto/1286774/biscoito-agua-e-sal-tradicional-vitarella-pacote-350g,,Biscoitos,10,,1,Mercearias Secas
9519,2026-04-13,11:00:07,Pão de Açúcar,Marilan,Cream Cracker 300g Marilan,300g,São Paulo,SP,Sudeste,7.99,,0,1,https://www.paodeacucar.com/produto/1639385/biscoito-cream-cracker-marilan-300g,,Biscoitos,10,,1,Mercearias Secas
9520,2026-04-13,11:00:17,Pão de Açúcar,Mabel,Cream Cracker 300g Mabel,300g,São Paulo,SP,Sudeste,5.89,,0,1,https://www.paodeacucar.com/produto/1616942/biscoito-cream-cracker-mabel-300g,,Biscoitos,10,,1,Mercearias Secas
9521,2026-04-13,11:00:28,Pão de Açúcar,Piraquê,Cream Cracker 184g Piraque,184g,São Paulo,SP,Sudeste,6.29,,0,1,https://www.paodeacucar.com/produto/1606433/biscoito-cream-cracker-piraque-pacote-184g,,Biscoitos,10,,1,Mercearias Secas
9522,2026-04-13,11:00:39,Pão de Açúcar,Marilan,Cream Cracker 140g Marilan,140g,São Paulo,SP,Sudeste,4.29,,0,1,https://www.paodeacucar.com/produto/1448576/biscoito-cream-cracker-marilan-pacote-170g,,Biscoitos,10,,1,Mercearias Secas
9523,2026-04-13,11:00:49,Pão de Açúcar,Bauducco,Cream Cracker 165g Bauducco,165g,São Paulo,SP,Sudeste,3.99,,0,1,https://www.paodeacucar.com/produto/1629268/biscoito-cream-cracker-tradicional-bauducco-pacote-165g,,Biscoitos,10,,1,Mercearias Secas
9524,2026-04-13,11:01:00,Pão de Açúcar,Adria,Cream Cracker 170g Adria,170g,São Paulo,SP,Sudeste,4.09,,0,1,https://www.paodeacucar.com/produto/1602912/biscoito-cream-cracker-folhado-manteiga-adria-folhata-pacote-170g,,Biscoitos,10,,1,Mercearias Secas
9525,2026-04-13,11:01:10,Pão de Açúcar,Mondelez,Oreo 90g Mondelez,90g,São Paulo,SP,Sudeste,4.89,,0,1,https://www.paodeacucar.com/produto/301575/biscoito-original-oreo-pacote-90g,,Biscoitos,10,,1,Mercearias Secas
9526,2026-04-13,11:01:20,Pão de Açúcar,Nestlé,Passatempo 150g Nestlé,150g,São Paulo,SP,Sudeste,2.99,,0,1,https://www.paodeacucar.com/produto/177670/biscoito-recheio-chocolate-passatempo-pacote-130g,,Biscoitos,10,,1,Mercearias Secas
9527,2026-04-13,11:01:31,Pão de Açúcar,Bauducco,Recheado Chocolate 140g Bauducco,140g,São Paulo,SP,Sudeste,5.29,,0,1,https://www.paodeacucar.com/produto/310906/biscoito-wafer-recheio-chocolate-bauducco-pacote-140g,,Biscoitos,10,,1,Mercearias Secas
9528,2026-04-13,11:01:42,Pão de Açúcar,Barilla,Macarrão Espaguete 500g Barilla,500g,São Paulo,SP,Sudeste,4.99,,0,1,https://www.paodeacucar.com/produto/279928/macarrao-com-ovos-espaguete-8-barilla-pacote-500g,,Massas,10,,1,Mercearias Secas
9529,2026-04-13,11:01:53,Pão de Açúcar,Adria,Macarrão Espaguete 500g Adria,500g,São Paulo,SP,Sudeste,4.29,,0,1,https://www.paodeacucar.com/produto/111375/macarrao-adria-com-ovos-espaguete---8-500g,,Massas,10,,1,Mercearias Secas
9530,2026-04-13,11:02:04,Pão de Açúcar,Nissin,Miojo Carne 85g Nissin,85g,São Paulo,SP,Sudeste,,,0,0,https://www.paodeacucar.com/produto/169902/macarrao-instantaneo-de-carne-nissin-miojo-lamen-pacote-85g,produto_indisponivel,Massas,,,2,Mercearias Secas
9531,2026-04-13,11:02:25,Extra,Marilan,Água e Sal 300g Marilan,300g,São Paulo,SP,Sudeste,6.99,,0,1,https://www.extramercado.com.br/produto/1667484/biscoito-agua-e-sal-marilan-300g,,Biscoitos,10,,1,Mercearias Secas
9532,2026-04-13,11:02:37,Extra,Vitarella,Água e Sal 350g Vitarella,350g,São Paulo,SP,Sudeste,6.79,,0,1,https://www.extramercado.com.br/produto/1376440/biscoito-agua-e-sal-tradicional-vitarella-pacote-350g,,Biscoitos,10,,1,Mercearias Secas
9533,2026-04-13,11:02:47,Extra,Adria,Água e Sal 170g Adria,170g,São Paulo,SP,Sudeste,4.15,,0,1,https://www.extramercado.com.br/produto/1642405/biscoito-agua-e-sal-adria-pacote-170g,,Biscoitos,10,,1,Mercearias Secas
9534,2026-04-13,11:02:58,Extra,Piraquê,Água e Sal 184g Piraque,184g,São Paulo,SP,Sudeste,5.99,,0,1,https://www.extramercado.com.br/produto/1641546/biscoito-agua-e-sal-piraque-pacote-184g,,Biscoitos,10,,1,Mercearias Secas
9535,2026-04-13,11:03:09,Extra,Marilan,Cream Cracker 300g Marilan,300g,São Paulo,SP,Sudeste,6.99,,0,1,https://www.extramercado.com.br/produto/1667380/biscoito-cream-cracker-marilan-300g,,Biscoitos,10,,1,Mercearias Secas
9536,2026-04-13,11:03:20,Extra,Vitarella,Cream Cracker 350g Vitarella,350g,São Paulo,SP,Sudeste,6.79,,0,1,https://www.extramercado.com.br/produto/1376439/biscoito-cream-cracker-amanteigado-tradicional-vitarella-pacote-350g,,Biscoitos,10,,1,Mercearias Secas
9537,2026-04-13,11:03:30,Extra,Piraquê,Cream Cracker 184g Piraque,184g,São Paulo,SP,Sudeste,,,0,0,https://www.extramercado.com.br/produto/1641542/biscoito-cream-cracker-piraque-pacote-184g,produto_indisponivel,Biscoitos,,,2,Mercearias Secas
9538,2026-04-13,11:03:50,Extra,Marilan,Cream Cracker 140g Marilan,140g,São Paulo,SP,Sudeste,4.89,,0,1,https://www.extramercado.com.br/produto/1667384/biscoito-cream-cracker-marilan-pacote-140g,,Biscoitos,10,,1,Mercearias Secas
9539,2026-04-13,11:03:59,Extra,Bauducco,Cream Cracker 165g Bauducco,165g,São Paulo,SP,Sudeste,3.59,,0,1,https://www.extramercado.com.br/produto/1660610/biscoito-cream-cracker-tradicional-bauducco-pacote-165g,,Biscoitos,10,,1,Mercearias Secas
